song_uuid,song_cmt,plyy_id,src_id
song_29c3dd50-89d8-4594-865a-7c25a6b3234a,"영Z의 SOUL",plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,1AtFSBJibfaqfiOByQCwZ5
song_20dc67dc-46b3-44d0-8855-2b44cf8db6bb,,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,351KkakA2YtGEXqSEIIasy
song_374b6906-96fd-4431-ae5e-481adc13334c,"우주같이 무한한 사랑을 배운다",plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,0kE4TRJ0pWoRKzKdtbx8To
song_1d7972dc-a1bc-4dbb-9e76-2e2b486b557f,,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,6i8MbzVn4nzyjUcSoVcz7B
song_2e9e36f4-939c-4071-8112-42e0360bcad7,"BTS 정국이 팬들을 위해 발매한 신곡",plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,0V2passWyAXnON67kfAj7y
song_24c2deaf-0a51-4baf-906f-d3329fd49eee,,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,2nRMW95dnOILirpjbksLTs
song_63ed15a5-f537-4fc4-ab00-b0ef1f1f4ce5,"너는 바라는 게 너무나 많아",plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,5juCu4WFTFRZ2XilopAMTy
song_d2ba9030-cc25-4861-9439-86c882f337e4,,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,5XWlyfo0kZ8LF7VSyfS4Ew
song_8d8162cc-0e30-4010-908f-b5b2034a8cdc,,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,0UTtK6hregIBOsefavRI26
song_2fade0d8-6161-4aa5-b751-bf6e63b1c06b,"불합리한 관계와 내면의 취약함에서 비롯한 불완전한 인간상",plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,2gyCwrOcC6JBoaJ8JGJ7T8
song_2330a522-f14b-4e88-bb62-433312380851,,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,0VPFT123HKoQ2J6ipeDcI1
song_7f60df45-3934-4995-acb5-0947fede133d,,plyy_2f01c5df-fac1-499e-9cfd-4ce3b540ddfd,5Avril3IZ26DPVFHbJX8o6
