src_1eEX2HigE7rmIT7bwVBqtj,Don't Trip,Zacari,Run Wild Run Free,src: https://i.scdn.co/image/ab67616d0000b273c56e6cfbd580fa696c6ad1f6,171280
src_0gPQTLaqHDgdupKEok7J2x,7 Days,Craig David,Born to Do It,src: https://i.scdn.co/image/ab67616d0000b2737c2e92fb2302f8e8fcd9b389,235133
src_0a4x22Cu8ix2C0ylPLl7A7,NWA (feat. Lil Durk),"Lucky Daye, Lil Durk",NWA (feat. Lil Durk),src: https://i.scdn.co/image/ab67616d0000b27349d06c5128177094fc12aa13,231570
src_0NYEdeOOdXN6Nw2AeKecSJ,Back of My Mind (feat. Ty Dolla $ign),"H.E.R., Ty Dolla $ign",Back of My Mind,src: https://i.scdn.co/image/ab67616d0000b273f214cabc279e33a7f0140391,221133
src_360NCp4XoQ0sFi5jgu5Ww7,Insecure,"Jazmine Sullivan, Bryson Tiller",Insecure,src: https://i.scdn.co/image/ab67616d0000b273d5ca61988f91d7f12ca71bc0,218072
src_2VSnwBXZLxPJoAHyDRyxrW,Night Calls,Yo Trane,Night Calls,src: https://i.scdn.co/image/ab67616d0000b273594b1120a76485dde7ba24b8,215316
src_0sHyVWNc3nfxAYOTOwOlPx,Balance,Wizkid,"More Love, Less Ego",src: https://i.scdn.co/image/ab67616d0000b273e944c571fca9ea470ebb5821,181840
src_01JPQ87UHeGysPVwTqMJHK,She Don't (feat. Ty Dolla $Ign),"Ella Mai, Ty Dolla $ign",Time,src: https://i.scdn.co/image/ab67616d0000b27340aba43042f328ad560b4be4,264097
src_6IaieqiCVvsNvEt6Y7yOFa,Ball For Me (feat. Nicki Minaj),"Post Malone, Nicki Minaj",beerbongs & bentleys,src: https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,206266
src_20jLHaXVhMFjwHs1JPjL4S,more than i should (feat. jessie reyez),"Kehlani, Jessie Reyez",blue water road,src: https://i.scdn.co/image/ab67616d0000b273ec32beffe58d9335b1975cb1,200639
src_4s1HdR4GZb9OQtfTq1avcq,Creep On Me (feat. French Montana & DJ Snake),"GASHI, French Montana, DJ Snake",GASHI,src: https://i.scdn.co/image/ab67616d0000b2732b995bd89d3405e84c408bda,194777
src_4VY32hdU4byJ6cpEBAXRul,Outside,Bryson Tiller,Outside,src: https://i.scdn.co/image/ab67616d0000b273b0141981cfa199a11281dfd4,188579
src_1DJsyU4yU3cnONCun42snt,You Ain't Worth It,"Melii, 6LACK",You Ain't Worth It,src: https://i.scdn.co/image/ab67616d0000b2737134d4f6ce30f1e8c7c86a93,183077
src_4HDCLYli2SUdkq9OjmvhSD,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",PARTYMOBILE,src: https://i.scdn.co/image/ab67616d0000b273d8082097058d4c44739b17dd,183219
src_2IlT65thKQQw248mhk2PjQ,JACKIE BROWN,Brent Faiyaz,WASTELAND,src: https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,169013
