Id,Title,Artist,Album,AlbumImg
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e
6CFPFnS9EcLs2I0nWqtWci,Because Of You,Ne-Yo,Because Of You,https://i.scdn.co/image/ab67616d0000b273ec4f8c81eb9ddee00e01798d
3TPvrMAd1hbPRXuHCRX0Pl,AEAO,"다이나믹 듀오,DJ Premier",A Giant Step,https://i.scdn.co/image/ab67616d0000b273bfa3b54c5b632d077ad792c7
2IgbYlOlFpiSFYnsqB39lM,JASMINE,DPR LIVE,Jasmine,https://i.scdn.co/image/ab67616d0000b273aede3a5ed9bb90fb91aad963
26Iv7VGUF1lqU10rxQXFL8,Summer (Feat. BE’O),"Paul Blanco,BE'O",Summer,https://i.scdn.co/image/ab67616d0000b2735a68d5809c1367b2a1f4b90b
5quFr5s5PXYfUX5jV2EBZ1,GANADARA (Feat. 아이유),"박재범,아이유",GANADARA,https://i.scdn.co/image/ab67616d0000b2738c0defcb336a0296eb7d704a
5UOY3OZib7H4KFwTfsT66g,NOT SORRY (Feat. pH-1) (Prod. by Slom),"이영지,pH-1",쇼미더머니 11 Episode 3,https://i.scdn.co/image/ab67616d0000b273df61d37c88b01fa413c527c1
0gVqDsMxAOREJ6WcdOuVHk,Understand,"멜로,Gist",MELOH,https://i.scdn.co/image/ab67616d0000b27318e6373800b5d51e4a4d91bc
0HsRZwZzHoZ5AM5W2ZYI5c,정이라고 하자 (Feat. 10CM),"BIG Naughty (서동현),10CM",정이라고 하자,https://i.scdn.co/image/ab67616d0000b2734ed336d1298bd24caa4a7b0e
1dN4Z7wZTQXLEl33RkMO3a,Text Me,DPR LIVE,Her,https://i.scdn.co/image/ab67616d0000b273262ee368886f6b290c338ef5
2FA4veLVh3jf7O8q5VhNh5,Somebody!,"로꼬,화사",Somebody,https://i.scdn.co/image/ab67616d0000b273c56c7294324afd02baff40b4
2TfsNTyC4uuamXBZJnU0ga,Nerdy Love,"pH-1,백예린",Nerdy Love,https://i.scdn.co/image/ab67616d0000b27335120749846df61d38ca1ee5
2SSbQoEqPHu6qAgi3pFobY,Alone (Feat. 이하이),"쿠기,이하이",ALONE,https://i.scdn.co/image/ab67616d0000b273369192860a12d0597c7bbd42
3oiMjDZ1bShIpFfOQf55IW,LOVE me,BE'O,LOVE me,https://i.scdn.co/image/ab67616d0000b2732ba3a19b8e9de814538577e3
4p4yxplNCSmt9xfaAMpcd5,Vancouver,BIG Naughty (서동현),Lovey Dovey,https://i.scdn.co/image/ab67616d0000b273f9607048dfb6b1915026be72
0lSJQip2wVidbu1JfZ4IEQ,비누,비비,비누,https://i.scdn.co/image/ab67616d0000b27359b2cee47926f1d35b285519
7qlA2Y1zPNnQxUd1BWx19x,작별인사 (Feat. Paul Blanco),"ASH ISLAND,Paul Blanco",ROSE,https://i.scdn.co/image/ab67616d0000b273602a6e7f45d870dcf7d47404
2SMq0lOqCTHayWa9juoI0d,시차 (We Are),"우원재,로꼬,GRAY",시차 (We Are),https://i.scdn.co/image/ab67616d0000b27380af1bc4fa047ba0e2f17c04
6gGtT4dIKt57gPubAGr9nY,Why,박재범,Why,https://i.scdn.co/image/ab67616d0000b27346ab252d46cd0e53003e3142
7zDu3l7DDlfSlt20YMKkWo,Martini Blue,DPR LIVE,Her,https://i.scdn.co/image/ab67616d0000b273262ee368886f6b290c338ef5
4IiSP6seUj7QwhgDgXdS11,Right Now (Feat. Crush),"쿠기,Crush",Right Now,https://i.scdn.co/image/ab67616d0000b273a3766a1615a221d3210d47cb
0dXGAtiyMmunKB69wpxJdq,Wifey,"CAMO,사이먼 도미닉",Wifey,https://i.scdn.co/image/ab67616d0000b273af5b0d14cb056e7d0ab3d4e4
