Id,Title,Artist,Album,AlbumImg
3k6q0O9JnO2GhvD6C8fs20,Closer Than This,지민,Closer Than This,https://i.scdn.co/image/ab67616d0000b273e3dbc03f538633dbb40adf37
4JzCFEc3O2UEdjKzevvFH5,For Youth,방탄소년단,Proof,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
4Dr2hJ3EnVh2Aaot6fRwDO,Blueming,아이유,Love poem,https://i.scdn.co/image/ab67616d0000b273b658276cd9884ef6fae69033
2Ghu1DdMwxS3VAyB7i38Wo,괜찮아도 괜찮아 (That's okay),도경수,괜찮아도 괜찮아 (That's okay),https://i.scdn.co/image/ab67616d0000b273a913b4768875bb4c53ce8658
6ezYHltHYhuJckdCsYsRJI,Either Way,IVE,Either Way,https://i.scdn.co/image/ab67616d0000b2739013c729c55c91dad5906adc
6mavVLsxaa4YcPje9qZKcf,When This Rain Stops,웬디,Like Water - The 1st Mini Album,https://i.scdn.co/image/ab67616d0000b273d8856d19e1f5784ed643d862
3TSLqZssCoCdDlMhCJ08XW,봄여름가을겨울 (Still Life),BIGBANG,봄여름가을겨울 (Still Life),https://i.scdn.co/image/ab67616d0000b273eb136d1be54b1ef8273c0699
20BE9EAAuma1el03cT4bH6,슈퍼스타,미도와 파라솔,"슬기로운 의사생활 시즌2, Pt. 6 (Original Television Soundtrack)",https://i.scdn.co/image/ab67616d0000b273a2e9582f880916f8580c8811
5kPpA4aMFeAQnahSnTIOi4,To You My Light (feat. LEE RAON),"마크툽,LEE RAON",Red Moon: To You My Light,https://i.scdn.co/image/ab67616d0000b273a34313b09d793a86351505b8
5Ny8dTK7mUgpL04RV07gee,I will listen never alone,윤미래,"Who Are You : School 2015 (Original Television Soundtrack), Pt.3",https://i.scdn.co/image/ab67616d0000b2733ba7baab62a91cbbbabac9c4
48mBeNB9eRSxbPn9bDIcyn,김철수 씨 이야기,허회경,김철수 씨 이야기,https://i.scdn.co/image/ab67616d0000b27308befc84a9771873e49006b6
4as4XEOR03oGm1STUKl6pa,삐삐,아이유,삐삐,https://i.scdn.co/image/ab67616d0000b273a1d785640d9421ec17ea8fe6
54Nx0KMNIIA0tAPewmd69X,바래다줄게 (Take You Home),백현,바래다줄게 (Take You Home) - SM STATION,https://i.scdn.co/image/ab67616d0000b2733c1ccc5a2d5ef4df8d0d20dc
26rFtNk7TNkJuLGq021Pvc,"HUG (Feat. Zion.T, 원슈타인) (Prod. by Slom)","이영지,Zion.T,원슈타인",쇼미더머니 11 Final,https://i.scdn.co/image/ab67616d0000b27355132ecbe945768a7bea47b0
6haDjNEwTRlmBlIQ5wxeML,"똑같은 만남, 다른 사람",결,"똑같은 만남, 다른 사람",https://i.scdn.co/image/ab67616d0000b27362beb1d3fb0c9aa111dbe110
58DqPqnPOrXEIU7Lj0s5PW,사람,지코,THINKING Part.1,https://i.scdn.co/image/ab67616d0000b27324deb6c031c068f1f3a6324b
4pqmFRZiyZSWbTGiF3CSvb,goodnight,"Sarah Kang,Juju B. Goode",how i remember,https://i.scdn.co/image/ab67616d0000b27375f832d2ff1d420cbdeb58ed
2ixTL8BqsPxaH9qPgEhFV1,be,EUNHYUK,be,https://i.scdn.co/image/ab67616d0000b273eb1a268b8cec9e07d3d39748
6YBfa6iDpybEPDcQsPi9D2,손을 잡아줘,케이시,웹툰 연놈 OST Part.1,https://i.scdn.co/image/ab67616d0000b27328607a316bf427c26d126a62
2YeozkaCbAYWOdjMKahrjU,집으로 가는 길,비투비,I Mean,https://i.scdn.co/image/ab67616d0000b273a0f85f45051b9cf2790ce175
2qgA8fMwtftAhDzkd6mhgD,스물에게 (Dear Diary),예리,스물에게 (Dear Diary),https://i.scdn.co/image/ab67616d0000b2737168197f477be0fb6637c7c8
3y7ByLZ05tluscOTRgEJ9Y,팔레트 (feat. G-DRAGON),"아이유,G-DRAGON",Palette,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e
3dQxjLOKLUUpZOwHYYdvyo,함께,노을,"응답하라 1988 (Original Television Soundtrack), Pt. 7",https://i.scdn.co/image/ab67616d0000b2731c3424cc6ce7a8a80fa3e4f9
7azmn7M9mRnHzyqxzjMsNe,Night Drive,여자친구,回:Walpurgis Night,https://i.scdn.co/image/ab67616d0000b273a1c07b020417770f3385448f
5F2Nrnc779a0ZADDG7v7u7,응원해,eldon,응원해,https://i.scdn.co/image/ab67616d0000b2732b7e9380bdd572b01a3424e5
