Id,Title,Artist,Album,AlbumImg
03XJBAAuyXh10dBgA3E4Au,"Ballad, Ryeoyo_KANG MINKYUNG",강민경,"Ballad, Ryeoyo_KANG MINKYUNG",https://i.scdn.co/image/ab67616d0000b273a374849c958fb1b92f07e0a7
4cTLRCZpY6ZxwTBetjl2Qe,술은 별로 안 마셨는데,이소정,술은 별로 안 마셨는데,https://i.scdn.co/image/ab67616d0000b273f32dbfcfc80b671b414f6ab8
68jFZoDvQrM4QUwZuC6oLa,내게 어울릴 이별 노래가 없어 (Prod. 윤상),케이윌,All The Way,https://i.scdn.co/image/ab67616d0000b27367fdf7a73777b373b4878201
2bnGfY6ZtuoNm9jSMt8HaD,열 손가락,어반자카파,열 손가락,https://i.scdn.co/image/ab67616d0000b27364cf10d1edc84ba5811234f9
1OhIn0L6iofnk5bjalWfHq,소나기,ECLIPSE,"선재 업고 튀어, Pt. 1 (Original Soundtrack)",https://i.scdn.co/image/ab67616d0000b273921b098ead845a5456339f8a
33uA9i4mmbHbaFZ3i8GgxS,기다리다 (20th Anniversary Edition),윤하,YOUNHA 20th Anniversary Digital Single '기다리다',https://i.scdn.co/image/ab67616d0000b273ec85dccff70fcb9ab018c884
5lxFv9Aig7R0OZDKbHd0Zb,가장 찬란한 빛으로 쏟아지는,HYNN,가장 찬란한 빛으로 쏟아지는,https://i.scdn.co/image/ab67616d0000b2737f93218f5a3396e768175686
2n6dYI54a9j8yVrR4ob7Fo,하루하루,경서예지,하루하루,https://i.scdn.co/image/ab67616d0000b2739a448eff5c8f64b825eeab8c
1H6gFy8Yfnm3JMAn4T398Y,나의 옛날이야기,김희재,나의 옛날이야기,https://i.scdn.co/image/ab67616d0000b273f8505aa34f00c1578d1e84fc
5R8MbzkUpTigzAXHsnoYpq,LOVE RECIPE,"소유,정기고","WONDO Project : LOVE RECIPE, Vol.1",https://i.scdn.co/image/ab67616d0000b2734c2da43b9a70668e418f6de3
4mqfe9XrgEOSsofvq5MyjR,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),https://i.scdn.co/image/ab67616d0000b27392144c5952844a7c0086b141
3pBoyr1390kBV2MVcn5YZu,all of my love,오왠,all of my love,https://i.scdn.co/image/ab67616d0000b273a802b007b145ad3cac451d48
1FkEJePjsSTZNJbrxd2BhI,I Will,하동균,I Will,https://i.scdn.co/image/ab67616d0000b27324a6a7c6d4fd9d4dcd969aff
