Id,Title,Artist,Album,AlbumImg
5R8MbzkUpTigzAXHsnoYpq,LOVE RECIPE,"소유,정기고","WONDO Project : LOVE RECIPE, Vol.1",https://i.scdn.co/image/ab67616d0000b2734c2da43b9a70668e418f6de3
1AtFSBJibfaqfiOByQCwZ5,Small girl (feat. 도경수(D.O.)),"이영지,도경수",16 Fantasy,https://i.scdn.co/image/ab67616d0000b273aa8e7da62fbfae5cb65f8e55
7pgbDdy7ax962o9d2xJceV,Slow Dancing (Piano Ver.),V,Layover,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963
2yjDmSX8ukT00SXmRs04T6,Maybe We Could Be a Thing,"Jesse Barrera,Michael Carreon,Albert Posis",Maybe We Could Be a Thing,https://i.scdn.co/image/ab67616d0000b273d73357f307a153b645c3d2c4
1hncbzqfhChm8PS0UeoVY6,Rock With You - Spotify Singles,"박재범,KATIE,WOOGIE",Spotify Singles,https://i.scdn.co/image/ab67616d0000b273bbb7a9cbcad2eabbfbcb9522
3y7ByLZ05tluscOTRgEJ9Y,팔레트 (feat. G-DRAGON),"아이유,G-DRAGON",Palette,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e
2wlBxUpVGnp1M7ZDLXaeB5,매일의 고백,도경수,성장 - THE 3RD MINI ALBUM,https://i.scdn.co/image/ab67616d0000b273f520480121d1cc5024db28f0
6nzCvAtyADh0wwZEVMoujK,By My Side,JUNNY,By My Side,https://i.scdn.co/image/ab67616d0000b27396c6f2356bf9ad60a9fd061f
36PxJOUB8qFTcDFp2M0h6K,2 O' CLOCK,dori,2 O' CLOCK,https://i.scdn.co/image/ab67616d0000b273b2c26082a6dd171731126d44
0HsRZwZzHoZ5AM5W2ZYI5c,정이라고 하자 (Feat. 10CM),"BIG Naughty (서동현),10CM",정이라고 하자,https://i.scdn.co/image/ab67616d0000b2734ed336d1298bd24caa4a7b0e
6eQtDU7frMlvQp3jSUqInu,비가 올때마다 (feat. Nason & 에이민),"뎁트,Nason,에이민",비가 올때마다,https://i.scdn.co/image/ab67616d0000b273557901608d75abbb4c6dcaf1
1pz24zu5H9A0S1a2NKT4F0,SoulMate (feat. IU),"지코,아이유",SoulMate (feat. IU),https://i.scdn.co/image/ab67616d0000b2737ac73c439819e81f544cc023
5KgukBQlqxJrmFnrEVa5IZ,Luv Luv Luv,"조유리,성한빈","소용없어 거짓말, Pt. 5 (Original Television Soundtrack)",https://i.scdn.co/image/ab67616d0000b2735ec1bcaea2b33de06ce1a7d8
5u6CQi2rgD1EyiztQnrrwY,I'm Fine,도경수,공감 (Empathy) - The 1st Mini Album,https://i.scdn.co/image/ab67616d0000b27305203cde35ba2fef6ca7b970
1E8Cztx0OIj4zm1IZh2XXj,Like A Fool,"니브,샘김",Like A Fool,https://i.scdn.co/image/ab67616d0000b27381e8bf4df241f2bed4d6debb
3eHkFA3StDR9BU7EVrUFLs,오늘 취하면 (FEAT.창모) (PROD. SUGA),"SURAN,창모",WINE,https://i.scdn.co/image/ab67616d0000b2732c0252c4e4a988f024e4d262
75bgkdHdg7ppBcHdLJkSBM,왜요 왜요 왜?,PLAVE,왜요 왜요 왜?,https://i.scdn.co/image/ab67616d0000b273867ce456b595f274603b5aa2
1SPDWTBH7qcjbZ8zMRXlQ9,Let Me Know,Jimmy Brown,Let Me Know,https://i.scdn.co/image/ab67616d0000b273fc3e792545cd4d3df7ea3df8
6472TSRvXlqcmg3iSh4GEi,nostalgia,"JUNNY,JAY B",nostalgia,https://i.scdn.co/image/ab67616d0000b2737f39417a4fec79f29bc03d36
4T2cOfemKB0owJS2JOu7dF,"Can I Love ? (feat. 유라(youra), Meego)","Cosmic Boy,유라,Meego",Can I Love ?,https://i.scdn.co/image/ab67616d0000b2731f824c973de698b722df271d
2j0MsDAMJ2ahsxP3z86ChI,Flu,아이유,IU 5th Album 'LILAC',https://i.scdn.co/image/ab67616d0000b2734ed058b71650a6ca2c04adff
3woXnjYYyZ66vPg3lutPDj,It's Raining,빈센트블루,It's Raining,https://i.scdn.co/image/ab67616d0000b2732655fc4d6380d778a140c292
6pm3SR1vvrV54AOJWsN7y7,It's You (Feat. ZICO),"샘김,지코",Sun And Moon,https://i.scdn.co/image/ab67616d0000b2738368fc4dff4622c0e00e6dbf
0PkpRtJqrwuXhbdtJuQm7E,Photograph,offonoff,boy.,https://i.scdn.co/image/ab67616d0000b273d8ab8d3ddd6b3f1dff0ffb88
2MQmvEq9tH7crlSCuIvwKI,Gloomy Star (feat. 1ho & Chan),"공기남,1ho,Chan",Morning Diaries EP 1,https://i.scdn.co/image/ab67616d0000b27337d4185547bafce403fff745
77GfQKz4WzULTEoLL286cT,"INFJ (Feat. B.I, 방예담)","BIG Naughty (서동현),B.I,방예담",Dingo X BIG Naughty,https://i.scdn.co/image/ab67616d0000b273ccbff5d88015b79608eacc65
5IWlLl3xT95o8TSv3O8tRH,비 오는 날 듣기 좋은 노래 (Feat. Colde),"에픽하이,Colde",비 오는 날 듣기 좋은 노래,https://i.scdn.co/image/ab67616d0000b273656622f410f229d11cca477d
340yvMO5adu3bo1x5Zrw14,같애 (Feat. SHIRT),"g0nny,SHIRT",같애 (Feat. SHIRT),https://i.scdn.co/image/ab67616d0000b2731090e6e7010d351218421415
79cmYpry5DEPtK4KbmAUqj,Promise,JUNNY,Promise,https://i.scdn.co/image/ab67616d0000b2732ada830334d4539aacabd2d9
