Id,Title,Artist,Album,AlbumImg
1AtFSBJibfaqfiOByQCwZ5,Small girl (feat. 도경수(D.O.)),"이영지,도경수",16 Fantasy,https://i.scdn.co/image/ab67616d0000b273aa8e7da62fbfae5cb65f8e55
351KkakA2YtGEXqSEIIasy,Supernova,aespa,Supernova,https://i.scdn.co/image/ab67616d0000b273d2ab7b4a8d0adf91b2167543
0kE4TRJ0pWoRKzKdtbx8To,Cosmic,Red Velvet,Cosmic,https://i.scdn.co/image/ab67616d0000b27364097227a67397e231047524
6i8MbzVn4nzyjUcSoVcz7B,Armageddon,aespa,Armageddon - The 1st Album,https://i.scdn.co/image/ab67616d0000b273090cfa22962b115ac530674c
0V2passWyAXnON67kfAj7y,ABCD,나연,NA,https://i.scdn.co/image/ab67616d0000b27373f05e5c2f5ec5cd07c6b6d9
2nRMW95dnOILirpjbksLTs,Never Let Go,정국,Never Let Go,https://i.scdn.co/image/ab67616d0000b273083f5a45d93b57cb65a97b83
5juCu4WFTFRZ2XilopAMTy,밤양갱,비비,밤양갱,https://i.scdn.co/image/ab67616d0000b273c5543b3cce74f3edafcc8f59
5XWlyfo0kZ8LF7VSyfS4Ew,Drama,aespa,Drama - The 4th Mini Album,https://i.scdn.co/image/ab67616d0000b273c54e39f2ae0dd10731f93c08
0UTtK6hregIBOsefavRI26,홀씨,아이유,The Winning,https://i.scdn.co/image/ab67616d0000b2735048ed32fafe7b9a50d0e410
2gyCwrOcC6JBoaJ8JGJ7T8,To. X,태연,To. X - The 5th Mini Album,https://i.scdn.co/image/ab67616d0000b273ed4dcfaf5f63938ecd6c4d59
0VPFT123HKoQ2J6ipeDcI1,Standing Next to You (USHER Remix),"정국,USHER",Standing Next to You (USHER Remix),https://i.scdn.co/image/ab67616d0000b273c9912de0a8a9a44b450318e4
5Avril3IZ26DPVFHbJX8o6,Seven (feat. Latto),"정국,Latto",Seven (feat. Latto),https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74
