Id,Title,Artist,Album,AlbumImg
4e1aewX6ATPcdfQIqr7gqO,Sticky,KISS OF LIFE,Sticky,https://i.scdn.co/image/ab67616d0000b2734cd7f69b85766b3d3035c27c
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,Supernatural,https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80
1AtFSBJibfaqfiOByQCwZ5,Small girl (feat. 도경수(D.O.)),"이영지,도경수",16 Fantasy,https://i.scdn.co/image/ab67616d0000b273aa8e7da62fbfae5cb65f8e55
351KkakA2YtGEXqSEIIasy,Supernova,aespa,Supernova,https://i.scdn.co/image/ab67616d0000b273d2ab7b4a8d0adf91b2167543
1kPhV0KQui1phEpjnWIqUN,Smeraldo Garden Marching Band (feat. Loco),"지민,로꼬",Smeraldo Garden Marching Band (feat. Loco),https://i.scdn.co/image/ab67616d0000b27338881a83135ef5b4ace418ba
1YXot2MLAG9sttepCtBRM7,踊り子,Vaundy,replica,https://i.scdn.co/image/ab67616d0000b2738d88fae79a837318aadcc056
1SS0WlKhJewviwEDZ6dWj0,SPOT!,"지코,제니",SPOT!,https://i.scdn.co/image/ab67616d0000b2731b8ae147aceb9fc130391287
0kE4TRJ0pWoRKzKdtbx8To,Cosmic,Red Velvet,Cosmic,https://i.scdn.co/image/ab67616d0000b27364097227a67397e231047524
2y8vRHEoz15sYDmxyrDePO,"If I’m S, Can You Be My N?",투어스,TWS 2nd Mini Album 'SUMMER BEAT!',https://i.scdn.co/image/ab67616d0000b2732e4ddd32aafbc7c986100a3b
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,How Sweet,https://i.scdn.co/image/ab67616d0000b273b657fbb27b17e7bd4691c2b2
1OhIn0L6iofnk5bjalWfHq,소나기,ECLIPSE,"선재 업고 튀어, Pt. 1 (Original Soundtrack)",https://i.scdn.co/image/ab67616d0000b273921b098ead845a5456339f8a
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c
