Id,Title,Artist,Album,AlbumImg
27zrFrtUtWl2urlvjOn5xc,Say Yes,"로꼬,펀치","달의 연인 - 보보경심 려 (Original Television Soundtrack), Pt. 2",https://i.scdn.co/image/ab67616d0000b273cb95963709806e12d93128d4
3cUyGXzLi6D3VMWATjoXmD,Stupid Love,"JUTO,Jayci yucca",Stupid Love,https://i.scdn.co/image/ab67616d0000b2731b3cb1985358436168ffe781
2m2JJ6T9KZxpBIBi8Xrx0B,Once in Summer,"JUTO,JAEHA",Once in Summer,https://i.scdn.co/image/ab67616d0000b27307904d611ce1667f1c9256a8
4L1MHK27ifT30Ndicpr7js,다시 여기 바닷가,싹쓰리,다시 여기 바닷가,https://i.scdn.co/image/ab67616d0000b27397953dea11f055b6518ede4f
550CzT8fS8lxeyhXbJpm0F,Chase Love Hard (Feat. 황민현),"볼빨간사춘기,황민현",사랑.zip,https://i.scdn.co/image/ab67616d0000b2735213aefec9fe4722a6a64a86
4POmOk9KPCgPgIzjq6sD5F,고장 나 (Broken),DreamNote,Secondary Page,https://i.scdn.co/image/ab67616d0000b273feb9032002fdf3cd64871333
7pYiTMBG8sgPJvXZZ476i1,첫 키스에 내 심장은 120BPM,경서,ONGOING,https://i.scdn.co/image/ab67616d0000b2733642b0a29bdb5dbec99bb000
30OyUSm3KRcjZQ3Nb1kbXR,넌 내꺼야,경서,넌 내꺼야,https://i.scdn.co/image/ab67616d0000b27350d5b8e3b218062937879bc6
6JIm38KbaDGfi65VGETDi9,잠깐 시간 될까,이무진,잠깐 시간 될까,https://i.scdn.co/image/ab67616d0000b2737833c4c10979d7c3cfb67f09
03qu1u4hDyepQQi2lNxCka,신호등,이무진,신호등,https://i.scdn.co/image/ab67616d0000b273aae78727e396da9f03032eda
4dMGKGfaWMZNLQEjkd8lme,여행,볼빨간사춘기,Red Diary Page.2,https://i.scdn.co/image/ab67616d0000b273e692edf07a63f385a795d5ea
6uVZ6U7pe3R4439ikLtQII,"Someday (From Kbs Drama ""Dream High"")",S.H Project,K-Drama Romance,https://i.scdn.co/image/ab67616d0000b273b886ad4cee9bb26c1d1eac4f
0S5b4F4ZT8EImBRIg9Mxjc,애인만들기,SS501,꽃보다 남자 (Original Television Soundtrack) Pt. 2,https://i.scdn.co/image/ab67616d0000b273cc4b2d48dbc68b6b7e9b2796
5rZN0PP6xZsf5SWxkpMm7k,우연히 봄,"로꼬,유주","냄새를 보는 소녀 (Original Television Soundtrack), Pt.2",https://i.scdn.co/image/ab67616d0000b273c29f93bd445c533d682296ed
4hRA2rCPaCOpoEIq5qXaBz,자격지심,"박경,은하",자격지심,https://i.scdn.co/image/ab67616d0000b27324e3a833a37b6904e5e26e8a
784rsBTfzmYwvwlFvUXyn5,Attraction (feat. Dynamo Duo),"범키,Dynamo Duo",Attraction,https://i.scdn.co/image/ab67616d0000b27304db3dc88225bcf308d4d686
3y1Aq9UzyzhMGuVaS8i2oA,"? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)","프라이머리,최자,Zion.T",Primary And The Messengers LP,https://i.scdn.co/image/ab67616d0000b27330b6adc29d752c16f25ff834
5tEouf2s1SPwAIkOHnvWtQ,Aqua Man,빈지노,24:26 (5th Anniversary Remaster Edition),https://i.scdn.co/image/ab67616d0000b273fce4d97a91b1d51a64ec8a97
2y6Ur97SRouk64dvHMMsbu,Boogie On & On,빈지노,24:26 (5th Anniversary Remaster Edition),https://i.scdn.co/image/ab67616d0000b273fce4d97a91b1d51a64ec8a97
0CPWIY1etGeJLg12CAuP4n,BLUE MOON (PROD. GROOVYROOM),"효린,창모",BLUE MOON,https://i.scdn.co/image/ab67616d0000b273830d181b4228625b58faf2b4
