song_uuid,song_cmt,song_vid,song_index,plyy_id,src_id
song_af047bb2-156c-4620-b8b2-7b29060c7941,,https://www.youtube.com/watch?v=g5FQl3IRGuk,0,3axAvtVlnfhenoPSfOel70,src_1eEX2HigE7rmIT7bwVBqtj
song_6ecb9d41-a52f-41fb-a7d7-fbdca602feaa,주드 벨링엄이 생각나는 노래,https://www.youtube.com/watch?v=P5lmb5-tnM0,1,3axAvtVlnfhenoPSfOel70,src_0gPQTLaqHDgdupKEok7J2x
song_ac307bd8-3481-4f23-9c93-18d1ea627c49,,https://www.youtube.com/watch?v=xOuos3tU3AE,2,3axAvtVlnfhenoPSfOel70,src_0a4x22Cu8ix2C0ylPLl7A7
song_27664d3e-2893-429c-af1e-bb0373ed340c,,https://www.youtube.com/watch?v=isCb54Bcdoo,3,3axAvtVlnfhenoPSfOel70,src_0NYEdeOOdXN6Nw2AeKecSJ
song_d180ba1e-f839-4560-9217-cda9ea5bc9c3,,https://www.youtube.com/watch?v=xcC3UQl3V-U,4,3axAvtVlnfhenoPSfOel70,src_360NCp4XoQ0sFi5jgu5Ww7
song_404a2fa6-d7d6-463c-a0a4-bea3592bb24a,,https://www.youtube.com/watch?v=oDjxlN92L98,5,3axAvtVlnfhenoPSfOel70,src_2VSnwBXZLxPJoAHyDRyxrW
song_3d2e5d43-0c17-403f-9cab-d73bf2662f45,,https://www.youtube.com/watch?v=nuWA-Gz2XJE,6,3axAvtVlnfhenoPSfOel70,src_0sHyVWNc3nfxAYOTOwOlPx
song_56000b33-36f9-4cf8-baba-568f7f2d5b30,맛깔난 아프로비트,https://www.youtube.com/watch?v=sg34LyfYobo,7,3axAvtVlnfhenoPSfOel70,src_01JPQ87UHeGysPVwTqMJHK
song_2efd4f74-d5e4-4014-bf1c-9925cd0bd563,,https://www.youtube.com/watch?v=atyPXBQfCaY,8,3axAvtVlnfhenoPSfOel70,src_6IaieqiCVvsNvEt6Y7yOFa
song_aa3e2968-5c2e-4150-9963-86fa123e3fbe,,https://www.youtube.com/watch?v=v0lzuXGXLE0,9,3axAvtVlnfhenoPSfOel70,src_20jLHaXVhMFjwHs1JPjL4S
song_c1b6244c-9946-4b7c-9a6c-3e05e7747440,,https://www.youtube.com/watch?v=t1YHv1wHAxo,10,3axAvtVlnfhenoPSfOel70,src_4s1HdR4GZb9OQtfTq1avcq
song_1b249709-961b-4383-b59f-38a14f704abb,,https://www.youtube.com/watch?v=ijYpfI_sCy8,11,3axAvtVlnfhenoPSfOel70,src_4VY32hdU4byJ6cpEBAXRul
song_cb41e91e-2ff4-40f4-b6d4-8e6d77bb0ccd,,https://www.youtube.com/watch?v=84d64ets6sY,12,3axAvtVlnfhenoPSfOel70,src_1DJsyU4yU3cnONCun42snt
song_b6578a1e-3977-431b-bcf2-987e7dd23653,,https://www.youtube.com/watch?v=gejbbL1AaJk,13,3axAvtVlnfhenoPSfOel70,src_4HDCLYli2SUdkq9OjmvhSD
song_c2e1512e-d529-4f09-8a4d-8b8f9bae5d12,,https://www.youtube.com/watch?v=snH91WGT1UE,14,3axAvtVlnfhenoPSfOel70,src_2IlT65thKQQw248mhk2PjQ
